Team Name,Arena Name,Arena Location,Seating Capacity,Opening Year
Atlanta Hawks,State Farm Arena,"Atlanta, Georgia","18,118",1999
Boston Celtics,TD Garden,"Boston, Massachusetts","18,624",1995
Brooklyn Nets,Barclays Center,"Brooklyn, New York","17,732",2012
Charlotte Hornets,Spectrum Center,"Charlotte, North Carolina","19,077",2005
Chicago Bulls,United Center,"Chicago, Illinois","20,917",1994
Cleveland Cavaliers,Rocket Mortgage Fieldhouse,"Cleveland, Ohio","19,432",1994
Dallas Mavericks,American Airlines Center,"Dallas, Texas","19,200",2001
Denver Nuggets,Pepsi Center,"Denver, Colorado","19,520",1999
Detroit Pistons,Little Caesars Arena,"Detroit, Michigan","20,491",2017
Golden State Warriors,Chase Center,"San Francisco, California","18,064",2019
Houston Rockets,Toyota Center,"Houston, Texas","18,055",2003
Indiana Pacers,Bankers Life Fieldhouse,"Indianapolis, Indiana","17,923",1999
Los Angeles Clippers,Staples Center,"Los Angeles, California","19,068",1999
Los Angeles Lakers,Staples Center,"Los Angeles, California","19,068",1999
Memphis Grizzlies,FedEx Forum,"Memphis, Tennessee","17,794",2004
Miami Heat,American Airlines Arena,"Miami, Florida","19,600",1999
Milwaukee Bucks,Fiserv Forum,"Milwaukee, Wisconsin","17,500",2018
Minnesota Timberwolves,Target Center,"Minneapolis, Minnesota","18,978",1990
New Orleans Pelicans,Smoothie King Center,"New Orleans, Louisiana","16,867",1999
New York Knicks,Madison Square Garden,"New York City, New York","19,812",1968
Oklahoma City Thunder,Chesapeake Energy Arena,"Oklahoma City, Oklahoma","18,203",2002
Orlando Magic,Amway Center,"Orlando, Florida","18,846",2010
Philadelphia 76ers,Wells Fargo Center,"Philadelphia, Pennsylvania","20,478",1996
Phoenix Suns,Talking Stick Resort Arena,"Phoenix, Arizona","18,055",1992
Portland Trail Blazers,Moda Center,"Portland, Oregon","19,441",1995
Sacramento Kings,Golden 1 Center,"Sacramento, California","17,583",2016
San Antonio Spurs,AT&T Center,"San Antonio, Texas","18,418",2002
Toronto Raptors,Scotiabank Arena,"Toronto, Ontario","19,800",1999
Utah Jazz,Vivint Smart Home Arena,"Salt Lake City, Utah","18,306",1991
Washington Wizards,Capital One Arena,"Washington, D.C.","20,356",1997
